,lat,lon,school_index,max_children,q_children
676,-20.43948,32.43788,676,620,620
677,-18.41587,32.90999,677,620,620
678,-19.63558,32.39496,678,620,620
679,-17.72571,32.97611,679,620,464
680,-19.92171,32.37498,680,620,620
681,-19.56705,32.45776,681,620,620
682,-18.57513,32.00336,682,620,620
683,-17.81276,32.95576,683,620,385
684,-19.68734,32.15812,684,620,620
685,-19.56992,32.18356,685,620,620
686,-20.78232,32.22265,686,620,620
687,-18.59,32.85949,687,620,105
688,-19.55506,32.42541,688,620,620
689,-19.71158,32.47427,689,620,620
690,-18.28447,32.99389,690,620,543
691,-17.9308,32.4028,691,620,620
692,-19.64596,32.27136,692,620,620
693,-20.43907,32.50699,693,620,620
694,-20.76415,32.38182,694,620,620
695,-18.34424,33.0016,695,620,620
696,-18.02926,32.15956,696,620,620
697,-18.64335,32.01441,697,620,620
698,-20.05861,32.58477,698,620,620
699,-19.97639,32.39429,699,620,620
700,-19.98935,32.57939,700,620,620
701,-19.74537,32.44204,701,620,620
702,-17.70787,32.65562,702,620,620
703,-19.48724,31.86535,703,620,620
704,-19.70094,31.88916,704,620,620
705,-18.4499,32.97834,705,620,376
706,-19.26779,31.76094,706,620,620
707,-19.62313,32.35891,707,620,620
708,-19.46953,32.41981,708,620,620
709,-17.80447,32.57535,709,620,620
710,-17.71792,32.63367,710,620,620
711,-19.26054,32.09158,711,620,620
712,-17.63741,32.90245,712,620,345
713,-20.48301,32.375,713,620,620
714,-19.49551,32.34588,714,620,620
715,-18.3969,33.02171,715,620,109
716,-17.86928,32.55597,716,620,620
717,-20.16816,32.73016,717,620,620
718,-17.64762,32.70886,718,620,620
719,-20.03915,32.7854,719,620,620
720,-19.526,32.78775,720,620,620
721,-18.84968,32.49323,721,620,620
722,-19.04541,32.4998,722,620,620
723,-19.10978,32.51928,723,620,620
724,-19.05581,32.556,724,620,620
725,-20.59921,32.36588,725,620,620
726,-18.87065,32.0917,726,620,620
727,-18.31408,32.99432,727,620,620
728,-18.1935,32.92905,728,620,620
729,-20.76886,32.27738,729,620,620
730,-18.76514,32.03251,730,620,620
