,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
2677,8642,SABINA MUGABE(KUTAMA FARM),Mashonaland West,Primary,Zvimba,P3,-17.741011914119813,30.40647457508359
4258,12693,MGIQIKA,Bulawayo,Primary,Imbizo,P2,-20.208891914119814,28.51495457508359
3234,10571,MASEMA,Masvingo,Primary,Gutu,P3,-19.869151914119815,31.50443457508359
2371,8278,MUCHERI,Mashonaland West,Primary,Zvimba,P3,-17.767501914119812,30.16509457508359
91,1109,SOUTHERTON,Harare,Primary,High Glen,P2,-17.867941914119815,30.99530457508359
3775,12075,MAZWI,Bulawayo,Primary,Khami,P2,-20.128191914119814,28.48085457508359
5088,16398,MAGADA,Midlands,Primary,Chirumanzu,P3,-19.505821914119814,30.432854575083592
2042,6745,ST PIUS MUKOTA,Mashonaland East,Primary,Mudzi,P3,-16.746501914119815,32.7906445750836
3152,10413,DEMBEDZA,Masvingo,Primary,Zaka,P3,-20.140081914119815,31.40698457508359
154,1230,GLEN  VIEW 6 ,Harare,Primary,Glenview Mufakose,P2,-17.907761914119813,30.91764457508359
4520,14137,PELELE,Matabeleland South,Primary,Gwanda,P3,-21.395271914119814,28.902634575083592
2396,8305,CHIKANGWE,Mashonaland West,Primary,Hurungwe,P2,-16.809941914119815,29.68035457508359
4778,14482,DULIBADZIMO,Matabeleland South,Primary,BeitBridge,P2,-22.185561914119813,29.98178457508359
5553,17026,TOM CHIBI,Midlands,Primary,Zvishavane,P3,-19.993931914119813,30.098964575083592
5382,16705,MWEMBESI,Midlands,Primary,Gokwe South,P3,-18.509151914119812,29.31439457508359
4021,12413,MATE,Matabeleland North,Primary,Tsholotsho,P3,-20.023461914119814,27.87651457508359
3687,11082,MURABA ,Masvingo,Primary,Mwenezi,P3,-21.047181914119815,30.04741457508359
3968,12358,ST GEORGES,Matabeleland North,Primary,Hwange,P2,-18.379661914119815,26.48198457508359
2600,8552,KUDZANAYI,Mashonaland West,Primary,Kariba,P3,-16.904981914119812,29.06331457508359
492,2509,GATSI,Manicaland,Primary,Mutasa,P3,-18.538071914119815,32.804604575083594
4420,14036,BETSA,Matabeleland South,Primary,Gwanda,P3,-21.162201914119812,28.88594457508359
1101,4132,CHIMFOMBO,Mashonaland Central,Primary,Guruve,P3,-16.674781914119812,30.59742457508359
3659,11054,CHIPESA PRY,Masvingo,Primary,Gutu,P3,-19.425561914119815,30.82984457508359
3263,10600,RUWARE,Masvingo,Primary,Chiredzi,P3,-20.814851914119814,31.70553457508359
805,2842,MUCHISI,Manicaland,Primary,Mutare,P3,-19.322891914119815,32.42988457508359
3930,12316,SIPHONGWENI,Matabeleland North,Primary,Tsholotsho,P3,-19.246971914119815,27.67955457508359
234,2028,DANGARE,Manicaland,Primary,Mutare,P2,-18.990511914119814,32.62054457508359
2114,6830,GILSTONE ,Mashonaland East,Primary,Seke,P3,-18.009911914119815,30.93303457508359
3129,10388,MUSINGARABWI,Masvingo,Primary,Masvingo,P3,-20.387341914119812,30.77849457508359
1491,5163,VELVEKIA  ,Mashonaland Central,Primary,Guruve,P3,-16.927461914119814,30.60191457508359
1457,5128,CHIMURENGA 3,Mashonaland Central,Primary,Mazowe,P3,-16.901601914119812,31.00335457508359
1503,5176,MINDA,Mashonaland Central,Primary,Muzarabani,P3,-16.632981914119814,30.96426457508359
2007,6695,HOME PARK,Mashonaland East,Primary,Murehwa,P3,-18.185691914119815,31.720204575083592
2124,6900,RUSUNUNGUKO,Mashonaland East,Primary,Chikomba,P3,-18.776181914119814,30.53803457508359
504,2528,CHITORA,Manicaland,Primary,Mutare,P3,-19.329901914119812,32.598724575083594
512,2538,MAMBWERE,Manicaland,Primary,Mutare,P3,-19.287911914119814,32.618244575083594
4050,12442,MWEMBA,Matabeleland North,Primary,Hwange,P3,-18.196131914119814,26.57958457508359
